date,Unnamed: 0,USD,AUD,CHF,NOK,GBP,NZD,CAD,SEK,EUR
2014-10-28,110,1.273545,1.438523,1.206852,8.413172,0.789444,1.608233,1.42415,9.326258,1.4773122
2014-10-29,111,1.263743,1.436862,1.204654,8.441563,0.789094,1.617071,1.414388,9.296151,1.46594188
2014-10-26,112,1.267462,1.439689,1.206306,8.353395,0.787582,1.613593,1.424386,9.187846,1.47025592
2014-10-27,113,1.269746,1.443229,1.206418,8.373142,0.787903,1.610069,1.428216,9.254062,1.47290536
2014-10-24,114,1.267029,1.441154,1.206644,8.359091,0.787486,1.613115,1.423613,9.192395,1.46975364
2014-10-25,115,1.267039,1.440505,1.206385,8.355798,0.787518,1.613122,1.42323,9.189872,1.46976524
2014-10-22,116,1.264605,1.44157,1.203869,8.349126,0.788134,1.605655,1.421657,9.17946,1.4669418
2014-10-23,117,1.264993,1.443752,1.205861,8.320754,0.788904,1.616995,1.420223,9.180193,1.46739188
2014-10-20,118,1.279759,1.456216,1.207765,8.390773,0.791797,1.604632,1.444314,9.18832,1.48452044
2014-10-21,119,1.271137,1.449386,1.205624,8.348635,0.788995,1.596943,1.428414,9.187381,1.47451892
2014-11-14,120,1.252463,1.431438,1.202702,8.466034,0.799288,1.583437,1.414761,9.261394,1.45285708
2014-11-15,121,1.252405,1.43146,1.202396,8.464419,0.799321,1.583409,1.415357,9.261778,1.4527898
2014-11-17,122,1.245042,1.430106,1.19983,8.443434,0.796106,1.572245,1.406611,9.246503,1.44424872
2014-11-10,123,1.242372,1.440802,1.20221,8.464268,0.784108,1.602509,1.412221,9.227635,1.44115152
2014-11-11,124,1.24727,1.435236,1.203425,8.476311,0.783501,1.597863,1.414135,9.21967,1.4468332
2014-11-12,125,1.243416,1.426952,1.20229,8.467764,0.788469,1.579183,1.408649,9.240604,1.44236256
2014-11-13,126,1.247611,1.432086,1.202535,8.471909,0.794319,1.584926,1.417836,9.262432,1.44722876
2015-08-31,127,1.121662,1.576939,1.083048,9.281047,0.730747,1.764542,1.4754,9.496144,1.30112792
2015-08-30,128,1.119064,1.567542,1.076965,9.27846,0.726087,1.736746,1.479586,9.467232,1.29811424
